	time (t)	I(t)
1	1	7578862
2	2	5948759
3	3	5094321
4	4	4371022
5	5	3752134
6	6	3223138
7	7	2771236
8	8	2384951
9	9	2058260
10	10	1775043
11	11	1537788
12	12	1333504
13	13	1159040
14	14	1010707
15	15	882968
16	16	775297
17	17	680079
18	18	599464
19	19	529989
20	20	470548
21	21	417719
22	22	373797
23	23	334257
24	24	299375
25	25	269760
26	26	244039
27	27	220100
28	28	200744
29	29	182077
30	30	166990
31	31	153376
32	32	141058
33	33	130756
34	34	119911
35	35	111877
36	36	103911
37	37	97283
38	38	90898
39	39	85079
40	40	80078
41	41	75499
42	42	72167
43	43	67838
44	44	64709
45	45	61735
46	46	59199
47	47	56900
48	48	54346
49	49	51812
50	50	50426
