	time (t)	I(t)
1	0	9133
2	1	20200
3	2	30377
4	3	38104
5	4	43662
6	5	47562
7	6	50290
8	7	51794
9	8	51927
10	9	50938
11	10	49954
12	11	48081
13	12	45731
14	13	43408
15	14	40659
16	15	37558
17	16	35295
18	17	32789
19	18	29994
20	19	27954
21	20	25950
22	21	23882
23	22	21911
24	23	20310
25	24	18574
26	25	17483
27	26	16209
28	27	15088
29	28	13862
30	29	13025
31	30	12248
32	31	11524
33	32	10872
34	33	10314
35	34	9750
36	35	9423
37	36	8749
38	37	8524
39	38	8209
40	39	7799
41	40	7530
42	41	7408
43	42	7296
44	43	7043
45	44	6825
46	45	6825
47	46	6416
48	47	6510
49	48	6357
50	49	6420
51	50	6122
52	51	6251
53	52	6155
54	53	6027
55	54	6035
56	55	5835
57	56	6006
58	57	5960
59	58	5964
60	59	5993
61	60	5867
62	61	5827
63	62	5856
64	63	5938
65	64	5928
66	65	5871
67	66	5910
68	67	5883
69	68	6064
70	69	5871
71	70	5981
72	71	5961
73	72	5778
74	73	5983
75	74	6075
76	75	6129
77	76	5811
78	77	6044
79	78	6086
80	79	6044
81	80	6059
82	81	5973
83	82	5878
84	83	5954
85	84	5966
86	85	6012
87	86	6081
88	87	6086
89	88	6102
90	89	5997
91	90	5986
92	91	6055
93	92	6106
94	93	6288
95	94	6244
96	95	6108
97	96	6158
98	97	6176
99	98	6143
100	99	6209
101	100	6318
102	101	6026
103	102	6245
104	103	6326
105	104	6109
106	105	6198
107	106	6285
108	107	6207
109	108	6191
110	109	6188
111	110	6341
112	111	6273
113	112	6192
114	113	6270
115	114	6142
116	115	6141
117	116	6275
118	117	6310
119	118	6203
120	119	6197
121	120	6241
122	121	6423
123	122	6251
124	123	6340
125	124	6289
126	125	6190
127	126	6155
128	127	6335
129	128	6142
130	129	6193
131	130	6187
132	131	6152
133	132	6430
134	133	6122
135	134	6153
136	135	6246
137	136	6233
138	137	6282
139	138	6079
140	139	6269
141	140	6199
142	141	6210
143	142	6141
144	143	6053
145	144	6127
146	145	6185
147	146	6144
148	147	6179
149	148	6105
150	149	6082
151	150	6043
152	151	5971
153	152	6092
154	153	6057
155	154	6017
156	155	6088
157	156	5831
158	157	5996
159	158	5914
160	159	6052
161	160	5957
162	161	5905
163	162	6066
164	163	5800
165	164	5905
166	165	5883
167	166	5864
168	167	5828
169	168	5884
170	169	5866
171	170	5891
172	171	5973
173	172	5952
174	173	5735
175	174	5756
176	175	5835
177	176	5650
178	177	5732
179	178	5660
180	179	5661
181	180	5760
182	181	5849
183	182	5749
184	183	5545
185	184	5550
186	185	5622
187	186	5672
188	187	5682
189	188	5451
190	189	5582
191	190	5456
192	191	5553
193	192	5583
194	193	5340
195	194	5519
196	195	5514
197	196	5417
198	197	5556
199	198	5350
200	199	5403
201	200	5377
202	201	5345
203	202	5395
204	203	5278
205	204	5401
206	205	5319
207	206	5361
208	207	5327
209	208	5294
210	209	5197
211	210	5342
212	211	5233
213	212	5202
214	213	5165
215	214	5111
216	215	5083
217	216	5139
218	217	5059
219	218	5062
220	219	5122
221	220	5166
222	221	5086
223	222	5128
224	223	4846
225	224	4988
226	225	5036
227	226	4874
228	227	5057
229	228	4878
230	229	4821
231	230	4925
232	231	4942
233	232	4788
234	233	4682
235	234	4884
236	235	4826
237	236	4846
238	237	4810
239	238	4751
240	239	4619
241	240	4782
242	241	4685
243	242	4584
244	243	4570
245	244	4514
246	245	4620
247	246	4505
248	247	4543
249	248	4629
250	249	4542
251	250	4613
252	251	4378
253	252	4631
254	253	4420
255	254	4546
256	255	4428
257	256	4449
258	257	4485
259	258	4444
260	259	4419
261	260	4380
262	261	4319
263	262	4225
264	263	4261
265	264	4214
266	265	4324
267	266	4312
268	267	4303
269	268	4323
270	269	4216
271	270	4070
272	271	4165
273	272	4078
274	273	4037
275	274	4113
276	275	4146
277	276	4085
278	277	4072
279	278	4107
280	279	4113
281	280	4023
282	281	4039
283	282	4070
284	283	4011
285	284	4029
286	285	3998
287	286	3947
288	287	3980
289	288	3990
290	289	3996
291	290	3937
292	291	3936
293	292	3969
294	293	3918
295	294	3845
296	295	3892
297	296	3802
298	297	3732
299	298	3792
300	299	3747
301	300	3820
302	301	3804
303	302	3646
304	303	3711
305	304	3768
306	305	3657
307	306	3656
308	307	3702
309	308	3717
310	309	3731
311	310	3595
312	311	3512
313	312	3637
314	313	3682
315	314	3623
316	315	3553
317	316	3631
318	317	3576
319	318	3533
320	319	3608
321	320	3526
322	321	3513
323	322	3467
324	323	3487
325	324	3431
326	325	3440
327	326	3398
328	327	3405
329	328	3328
330	329	3446
331	330	3348
332	331	3375
333	332	3395
334	333	3302
335	334	3362
336	335	3348
337	336	3386
338	337	3361
339	338	3248
340	339	3326
341	340	3232
342	341	3287
343	342	3182
344	343	3247
345	344	3133
346	345	3151
347	346	3249
348	347	3103
349	348	3219
350	349	3209
351	350	3216
352	351	3139
353	352	3140
354	353	3149
355	354	3201
356	355	3096
357	356	3160
358	357	3038
359	358	3109
360	359	3106
361	360	2997
362	361	2982
363	362	3024
364	363	3028
365	364	3030
366	365	2883
367	366	2927
368	367	2956
369	368	2999
370	369	2943
371	370	2923
372	371	2896
373	372	2904
374	373	2958
375	374	2864
376	375	2889
377	376	2962
378	377	2973
379	378	2889
380	379	2849
381	380	2818
382	381	2783
383	382	2808
384	383	2823
385	384	2909
386	385	2862
387	386	2860
388	387	2836
389	388	2825
390	389	2892
391	390	2828
392	391	2749
393	392	2835
394	393	2788
395	394	2591
396	395	2828
397	396	2722
398	397	2771
399	398	2726
400	399	2684
401	400	2714
402	401	2669
403	402	2759
404	403	2671
405	404	2692
406	405	2663
407	406	2667
408	407	2673
409	408	2590
410	409	2743
411	410	2633
412	411	2705
413	412	2587
414	413	2587
415	414	2661
416	415	2556
417	416	2516
418	417	2537
419	418	2592
420	419	2555
421	420	2618
422	421	2508
423	422	2509
424	423	2560
425	424	2587
426	425	2523
427	426	2470
428	427	2496
429	428	2475
430	429	2536
431	430	2463
432	431	2534
433	432	2488
434	433	2402
435	434	2477
436	435	2470
437	436	2375
438	437	2492
439	438	2446
440	439	2348
441	440	2457
442	441	2463
443	442	2297
444	443	2427
445	444	2305
446	445	2392
447	446	2305
448	447	2425
449	448	2336
450	449	2349
451	450	2268
452	451	2378
453	452	2348
454	453	2378
455	454	2378
456	455	2340
457	456	2276
458	457	2338
459	458	2241
460	459	2342
461	460	2193
462	461	2222
463	462	2233
464	463	2261
465	464	2259
466	465	2254
467	466	2187
468	467	2186
469	468	2256
470	469	2254
471	470	2232
472	471	2133
473	472	2234
474	473	2188
475	474	2188
476	475	2190
477	476	2184
478	477	2118
479	478	2224
480	479	2075
481	480	2158
482	481	2182
483	482	2188
484	483	2147
485	484	2147
486	485	2128
487	486	2164
488	487	2150
489	488	2172
490	489	2065
491	490	2092
492	491	2047
493	492	2121
494	493	2102
495	494	2052
496	495	2126
497	496	2038
498	497	2050
