	T(K)	I
1	324	3600
2	325	6502
3	326	9346
4	328	11780
5	330	13538
6	331	14804
7	333	15834
8	334	16692
9	335	17329
10	337	17987
11	339	17798
12	340	17408
13	342	16522
14	343	15144
15	345	13671
16	346	11888
17	348	10089
18	349	8598
19	351	7340
20	352	6480
21	354	5894
22	355	5764
23	356	6004
24	358	6384
25	360	7070
26	361	7920
27	363	9090
28	364	10392
29	366	11978
30	367	13642
31	368	15786
32	370	18110
33	372	20556
34	373	23678
35	375	26882
36	376	30626
37	377	34492
38	379	38740
39	380	43192
40	382	47785
41	383	52441
42	385	57072
43	387	61342
44	388	65032
45	389	67970
46	391	70016
47	393	70444
48	394	69592
49	396	67006
50	397	63174
51	398	58100
52	400	52018
53	401	45972
54	403	40386
55	405	35320
56	406	31830
57	408	29832
58	409	29610
59	411	30356
60	412	31860
61	414	34722
62	415	37854
63	417	41342
64	418	45266
65	419	49372
66	421	53470
67	422	57650
68	424	61538
69	426	66004
70	427	69352
71	429	71547
72	430	72845
73	431	74390
74	433	74310
75	435	73095
76	436	71103
77	438	68707
78	439	65365
79	441	62496
80	442	59440
81	444	58180
82	445	57472
83	447	58022
84	448	59266
85	450	61440
86	451	64219
87	453	67355
88	454	71682
89	456	76056
90	457	80880
91	459	85404
92	460	90470
93	461	95576
94	463	99586
95	464	103558
96	466	106098
97	468	108294
98	469	110660
99	470	112630
100	472	114828
101	473	117890
102	475	122054
103	476	128716
104	478	137152
105	479	146526
106	481	155500
107	482	167604
108	484	178652
109	485	188239
110	487	193439
111	488	193510
112	490	188034
113	491	177556
114	493	162813
115	494	144111
116	496	122662
117	497	99304
118	499	76150
119	501	55754
120	502	38540
121	503	25206
122	505	15966
123	506	10318
124	508	6960
125	510	5302
126	511	4372
127	512	3910
128	514	3680
129	515	3456
130	517	3334
131	518	3218
132	520	3196
133	521	3224
134	523	3268
135	524	3376
136	526	3518
137	527	3658
138	529	3814
139	530	3972
140	532	4162
141	533	4318
142	535	4474
143	536	4530
144	538	4704
145	539	4842
146	541	5054
147	542	5106
148	544	5210
149	545	5230
150	547	5328
151	548	5370
152	550	5282
153	551	5216
154	553	5204
155	554	5098
156	556	4862
157	557	4788
158	559	4580
159	560	4456
160	562	4254
161	563	3948
162	565	3702
163	566	3434
164	568	3260
165	569	3100
166	571	2878
167	572	2726
168	574	2544
169	575	2428
170	577	2308
171	578	2304
172	580	2198
173	581	2152
174	583	2148
175	584	2152
176	586	2234
177	587	2240
178	589	2288
179	590	2358
180	592	2400
181	593	2458
182	595	2498
183	596	2424
184	598	2454
185	599	2446
186	601	2410
187	602	2270
188	604	2164
189	605	2046
190	607	1866
191	608	1708
192	610	1538
193	611	1362
194	613	1228
195	614	1031
196	616	955
197	617	802
198	619	683
199	620	661
200	622	560
