Im,Tm,E,R	Min	Max
17302.31778	0	inf
337.8587526	273	inf
0.972010303	0.3	2.5
0.0287746	0.00001	0.9
		
65678.74721	0	inf
391.500807	273	inf
1.257318931	0.3	2.5
0.008267708	0.00001	0.9
		
64231.62283	0	inf
430.0656397	273	inf
1.361771202	0.3	2.5
0.043573187	0.00001	0.9
		
72037.33028	0	inf
461.6813557	273	inf
1.64	0.3	2.5
0.00001	0.00001	0.9
		
192966.7973	0	inf
487.9759886	273	inf
2.2	0.3	2.5
0.017821792	0.00001	0.9
		
2526.23605	0	inf
525	273	inf
1.734811515	0.3	2.5
0.139902584	0.00001	0.9
		
4891.36582	0	inf
552.2832106	273	inf
2.278865431	0.3	2.5
0.405923779	0.00001	0.9
		
2343.96387	0	inf
597.4235991	273	inf
2.378865431	0.3	2.5
0.194094921	0.00001	0.9
		
0	0	inf
275.7550133	273	inf
0.3	0.3	2.5
0.00001	0.00001	0.9
		
0	0	inf
633.4419554	273	inf
1.653618962	0.3	2.5
0.9	0.00001	0.9
